claim_id,claim_type,claim_text,source_ids,confidence,verification_status,notes
C01,C1,LLMs can automate requirements elicitation interviews with quality close to human interviewers,S01,85%,Verified,"LLMREI research demonstrated comparable recall and coverage"
C02,C1,The funnel technique progresses from broad open-ended to narrow closed questions,S05,95%,Verified,"NN/g authoritative source, widely cited methodology"
C03,C1,GitHub Copilot Workspace uses current-state vs desired-state specification format,S02 S03,95%,Verified,"Direct tool documentation, user manual confirmation"
C04,C1,INVEST criteria (Independent Negotiable Valuable Estimable Small Testable) define story quality,S21 S22,95%,Verified,"Agile Alliance authoritative definition, Bill Wake origin"
C05,C1,Slot filling extracts entities progressively through multi-turn conversation,S04,90%,Verified,"Microsoft enterprise documentation"
C06,C1,The golden prompt pattern forces AI to ask one question at a time with options A B C,S09,85%,Verified,"Practical workflow demonstrated with examples"
C07,C1,Codebase-aware AI tools report 20-50% productivity gains,S10,75%,Partially Verified,"Self-reported by tool vendor, needs independent confirmation"
C08,C1,Definition of Ready ensures stories are actionable before sprint starts,S07 S08,90%,Verified,"Atlassian and multiple Agile sources agree"
C09,C1,Given-When-Then (Gherkin) format works best for complex business logic scenarios,S15 S16,85%,Verified,"Multiple sources recommend for multi-step flows"
C10,C1,3-7 acceptance criteria per story is the recommended range,S15 S16,85%,Verified,"Multiple sources converge on this range"
C11,C1,Verdant AI Planner asks 5-7 clarifying questions before creating implementation plan,S13,80%,Verified,"Tool documentation, practical workflow"
C12,C2,Laddering questions drill down with repeated why questions until root cause found,S06,85%,Verified,"IxDF authoritative UX research source"
C13,C2,Edge cases are the opposite of happy path and users naturally focus on happy path,S19,80%,Verified,"Common RE practice, multiple sources agree"
C14,C2,Requirements gathering should cover 14 categories including functional technical security,S14,75%,Verified,"Comprehensive checklist from Requiment"
C15,C2,Context engines maintain live understanding of code architecture dependencies history,S10 S11,80%,Verified,"Augment and Qodo documentation"
C16,C2,Users can edit specification and plan at any point in Copilot Workspace,S02 S03,95%,Verified,"Direct tool documentation"
C17,C3,70% of projects fail due to poor requirements management,S14,70%,Citation Needed,"Commonly cited but needs primary source"
C18,C2,Non-functional requirements include performance scalability security usability,S17,90%,Verified,"Industry standard categories"
